1.100000000000000000e+01,6.771902441978454590e-01,6.776108145713806152e-01,2.877163887023925781e-01,2.882557213306427002e-01,3.894747495651245117e-01,3.893528878688812256e-01
1.200000000000000000e+01,6.762138009071350098e-01,6.766931414604187012e-01,2.873730361461639404e-01,2.879787385463714600e-01,3.888400197029113770e-01,3.887152075767517090e-01
1.300000000000000000e+01,6.756919026374816895e-01,6.762254238128662109e-01,2.871901690959930420e-01,2.877286970615386963e-01,3.885006010532379150e-01,3.884942829608917236e-01
1.400000000000000000e+01,6.752709746360778809e-01,6.762746572494506836e-01,2.870435714721679688e-01,2.877873480319976807e-01,3.882267177104949951e-01,3.884876668453216553e-01
1.500000000000000000e+01,6.748923659324645996e-01,6.759238839149475098e-01,2.868905067443847656e-01,2.876750528812408447e-01,3.880030512809753418e-01,3.882502317428588867e-01
1.600000000000000000e+01,6.745096445083618164e-01,6.752214431762695312e-01,2.867414057254791260e-01,2.874131500720977783e-01,3.877719044685363770e-01,3.878065645694732666e-01
1.700000000000000000e+01,6.743121147155761719e-01,6.765375137329101562e-01,2.866711020469665527e-01,2.879488170146942139e-01,3.876417875289916992e-01,3.885937333106994629e-01
1.800000000000000000e+01,6.740372776985168457e-01,6.752957701683044434e-01,2.865581214427947998e-01,2.874563932418823242e-01,3.874810934066772461e-01,3.878386914730072021e-01
1.900000000000000000e+01,6.738327741622924805e-01,6.750687360763549805e-01,2.864828407764434814e-01,2.872931361198425293e-01,3.873475193977355957e-01,3.877770602703094482e-01
2.000000000000000000e+01,6.735841631889343262e-01,6.746951937675476074e-01,2.863794267177581787e-01,2.872366905212402344e-01,3.871933817863464355e-01,3.874547779560089111e-01
